time,game,money_spent,balance
03/11/2024 11:56:24,slotMachine,100,40300
03/11/2024 11:56:26,slotMachine,100,41700
03/11/2024 11:56:27,slotMachine,100,41600
03/11/2024 11:57:47,slotMachine,100,41500
03/11/2024 11:59:41,slotMachine,100,41400
03/11/2024 11:59:42,slotMachine,100,47300
03/11/2024 12:04:18,slotMachine,100,48700
03/11/2024 12:05:37,slotMachine,100,900
03/11/2024 12:06:16,slotMachine,100,900
03/11/2024 12:06:40,slotMachine,100,900
03/11/2024 12:07:44,slotMachine,100,900
03/11/2024 12:08:09,slotMachine,100,900
03/11/2024 12:10:35,slotMachine,100,3900
03/11/2024 12:16:52,slotMachine,100,6900
03/11/2024 12:16:53,slotMachine,100,6800
03/11/2024 12:16:53,slotMachine,100,8200
03/11/2024 12:16:54,slotMachine,100,8100
03/11/2024 12:16:55,slotMachine,100,8000
03/11/2024 12:24:06,slotMachine,100,900
03/11/2024 12:26:03,slotMachine,100,900
03/11/2024 12:32:04,slotMachine,100,3900
03/11/2024 12:33:27,slotMachine,100,900
03/11/2024 14:05:35,slotMachine,100,900
03/11/2024 14:05:37,slotMachine,100,800
03/11/2024 14:05:38,slotMachine,100,700
03/11/2024 14:05:39,slotMachine,100,3600
03/11/2024 14:05:51,slotMachine,100,2400
03/11/2024 14:05:52,slotMachine,100,2300
03/11/2024 14:05:54,slotMachine,100,2200
03/11/2024 14:05:55,slotMachine,100,2100
03/11/2024 14:06:14,slotMachine,100,900
03/11/2024 14:06:15,slotMachine,100,800
03/11/2024 14:06:16,slotMachine,100,6700
03/11/2024 14:06:30,slotMachine,100,900
03/11/2024 14:06:32,slotMachine,100,800
03/11/2024 14:06:33,slotMachine,100,2200
03/11/2024 14:06:34,slotMachine,100,8100
03/11/2024 14:06:35,slotMachine,100,8000
03/11/2024 14:06:36,slotMachine,100,7900
03/11/2024 14:06:36,slotMachine,100,9300
03/11/2024 14:06:37,slotMachine,100,9200
03/11/2024 14:06:38,slotMachine,100,15100
03/11/2024 14:06:39,slotMachine,100,15000
03/11/2024 14:06:40,slotMachine,100,17900
03/11/2024 14:06:40,slotMachine,100,17800
03/11/2024 14:06:42,slotMachine,100,17700
03/11/2024 14:06:57,slotMachine,100,2400
03/11/2024 14:06:58,slotMachine,100,2300
03/11/2024 14:06:59,slotMachine,100,2200
03/11/2024 14:07:00,slotMachine,100,2100
03/11/2024 14:07:00,slotMachine,100,2000
03/11/2024 14:07:01,slotMachine,100,1900
03/11/2024 14:07:02,slotMachine,100,1800
03/11/2024 14:07:03,slotMachine,100,1700
03/11/2024 14:07:04,slotMachine,100,1600
03/11/2024 14:07:04,slotMachine,100,1500
03/11/2024 14:07:05,slotMachine,100,7400
03/11/2024 14:07:06,slotMachine,100,7300
03/11/2024 14:07:06,slotMachine,100,7200
